STRING_id	gene_symbol	ensembl_id	entrezgene	uniprot_id
9606.ENSP00000414558	ABHD4	ENSG00000100439	63874	Q8TB40
9606.ENSP00000390849	ABHD5	ENSG00000011198	51099	Q8WTS1
9606.ENSP00000295962	ABHD6	ENSG00000163686	57406	Q9BV23
9606.ENSP00000247706	ABHD8	ENSG00000127220	79575	Q96I13
9606.ENSP00000365312	ABI1	ENSG00000136754	10006	Q8IZP0
9606.ENSP00000261017	ABI2	ENSG00000138443	10152	Q9NYB9
9606.ENSP00000225941	ABI3	ENSG00000108798	51225	Q9P2A4
9606.ENSP00000284322	ABI3BP	ENSG00000154175	25890	Q7Z7G0
9606.ENSP00000361423	ABL1	ENSG00000097007	25	P00519
9606.ENSP00000427562	ABL2	ENSG00000143322	27	P42684
9606.ENSP00000393511	ABLIM2	ENSG00000163995	84448	Q6H8Q1
9606.ENSP00000310309	ABLIM3	ENSG00000173210	22885	O94929
9606.ENSP00000303909	ABR	ENSG00000159842	29	Q12979
9606.ENSP00000311436	ABRA	ENSG00000174429	137735	Q8N0Z2
9606.ENSP00000356632	ABRACL	ENSG00000146386	58527	Q9P1F3
9606.ENSP00000369857	ABRAXAS1	ENSG00000163322	84142	Q6UWZ7
9606.ENSP00000298492	ABRAXAS2	ENSG00000165660	23172	Q15018
9606.ENSP00000274849	ABT1	ENSG00000146109	29777	Q9ULW3
9606.ENSP00000232744	ABTB1	ENSG00000114626	80325	Q969K4
9606.ENSP00000410157	ABTB2	ENSG00000166016	25841	Q8N961
9606.ENSP00000333664	ACAA1	ENSG00000060971	30	P09110
9606.ENSP00000285093	ACAA2	ENSG00000167315	10449	P42765
9606.ENSP00000341044	ACACB	ENSG00000076555	32	O00763
9606.ENSP00000389813	ACAD10	ENSG00000111271	80724	Q6JQN1
9606.ENSP00000264990	ACAD11	ENSG00000240303	84129	Q709F0
9606.ENSP00000281182	ACAD8	ENSG00000151498	27034	Q9UKU7
9606.ENSP00000312618	ACAD9	ENSG00000177646	28976	Q9H845
9606.ENSP00000233710	ACADL	ENSG00000115361	33	P28330
9606.ENSP00000409612	ACADM	ENSG00000117054	34	P11310
9606.ENSP00000242592	ACADS	ENSG00000122971	35	P16219
9606.ENSP00000357873	ACADSB	ENSG00000196177	36	P45954
9606.ENSP00000349297	ACADVL	ENSG00000072778	37	P49748
9606.ENSP00000387356	ACAN	ENSG00000157766	176	P16112
9606.ENSP00000158762	ACAP1	ENSG00000072818	9744	Q15027
9606.ENSP00000324287	ACAP2	ENSG00000114331	23527	Q15057
9606.ENSP00000346733	ACAP3	ENSG00000131584	116983	Q96P50
9606.ENSP00000265838	ACAT1	ENSG00000075239	38	P24752
9606.ENSP00000356015	ACAT2	ENSG00000120437	39	Q9BWD1
9606.ENSP00000355777	ACBD3	ENSG00000182827	64746	Q9H3P7
9606.ENSP00000405969	ACBD4	ENSG00000181513	79777	Q8NC06
9606.ENSP00000379568	ACBD5	ENSG00000107897	91452	Q5T8D3
9606.ENSP00000356567	ACBD6	ENSG00000230124	84320	Q9BR61
9606.ENSP00000367453	ACBD7	ENSG00000176244	414149	Q8N6N7
9606.ENSP00000263776	ACCS	ENSG00000110455	84680	Q96QU6
9606.ENSP00000368109	ACCSL	ENSG00000205126	390110	Q4AC99
9606.ENSP00000377496	ACD	ENSG00000102977	65057	Q96AP0
9606.ENSP00000290866	ACE	ENSG00000159640	1636	P12821
9606.ENSP00000252519	ACE2	ENSG00000130234	59272	Q9BYF1
9606.ENSP00000301452	ACER1	ENSG00000167769	125981	Q8TDN7
