Gene	Gene.synonym	Ensembl	Gene.description	Uniprot	Protein.class	Evidence	HPA.evidence	UniProt.evidence
SYTL2	CHR11SYT, exophilin-4, FLJ20163, FLJ21219, KIAA1597, MGC102768, PPP1R151, SGA72M, SLP2	ENSG00000137501	Synaptotagmin like 2	Q9HCH5	Plasma proteins, Predicted intracellular proteins, Transporters	Evidence at protein level	Evidence at transcript level	Evidence at protein level
SYVN1	DER3, HRD1	ENSG00000162298	Synoviolin 1	Q86TM6	Enzymes, Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
TACC2	AZU-1	ENSG00000138162	Transforming acidic coiled-coil containing protein 2	O95359	Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
TACR2	NK2R, NKNAR, SKR, TAC2R	ENSG00000075073	Tachykinin receptor 2	P21452	G-protein coupled receptors, Predicted membrane proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
TACSTD2	EGP-1, GA733-1, M1S1, TROP2	ENSG00000184292	Tumor associated calcium signal transducer 2	P09758	Disease related genes, Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
TASP1	C20orf13, dJ585I14.2, FLJ20212	ENSG00000089123	Taspase 1	Q9H6P5	Predicted intracellular proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
TAZ	BTHS, CMD3A, EFE, EFE2, G4.5, TAZ1, XAP-2	ENSG00000102125	Tafazzin	Q16635	Disease related genes, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
TBC1D10A	AC004997.C22.2, EPI64, TBC1D10	ENSG00000099992	TBC1 domain family member 10A	Q9BXI6	Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
TBC1D24	DFNA65, DFNB86, KIAA1171, TLDC6	ENSG00000162065	TBC1 domain family member 24	Q9ULP9	Disease related genes, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
TBC1D30	KIAA0984	ENSG00000111490	TBC1 domain family member 30	Q9Y2I9	Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
TBC1D9B	GRAMD9B, KIAA0676	ENSG00000197226	TBC1 domain family member 9B	Q66K14	Predicted intracellular proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
TBXA2R		ENSG00000006638	Thromboxane A2 receptor	P21731	Disease related genes, FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
TCAF2	FAM115C, FAM139A, FLJ40722, GATD9	ENSG00000170379	TRPM8 channel associated factor 2	A6NFQ2	Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
TCAF2C		ENSG00000283528	TRPM8 channel associated factor 2C		Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	
TCHP	MGC10854, TpMs	ENSG00000139437	Trichoplein keratin filament binding	Q9BT92	Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
TCIM	C8orf4, hTC-1, TC-1, TC1	ENSG00000176907	Transcriptional and immune response regulator	Q9NR00	Predicted intracellular proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
TDO2	TDO, TPH2	ENSG00000151790	Tryptophan 2,3-dioxygenase	P48775	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
TDP1	FLJ11090, SCAN1	ENSG00000042088	Tyrosyl-DNA phosphodiesterase 1	Q9NUW8	Disease related genes, Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
TEC	PSCTK4	ENSG00000135605	Tec protein tyrosine kinase	P42680	Enzymes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
TES	DKFZP586B2022, TESS-2, TESTIN	ENSG00000135269	Testin LIM domain protein	Q9UGI8	Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
TEX14	CT113	ENSG00000121101	Testis expressed 14, intercellular bridge forming factor	Q8IWB6	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level
TEX9		ENSG00000151575	Testis expressed 9	Q8N6V9	Predicted intracellular proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
TGFBR1	ACVRLK4, ALK-5, ALK5, ESS1, MSSE, TBR-i, TBRI	ENSG00000106799	Transforming growth factor beta receptor 1	P36897	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
TGFBR2	MFS2, TBR-ii, TBRII	ENSG00000163513	Transforming growth factor beta receptor 2	P37173	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
