Gene	Gene.synonym	Ensembl	Gene.description	Uniprot	Protein.class	Evidence	HPA.evidence	UniProt.evidence
AADAT	KAT2, KATII, KYAT2	ENSG00000109576	Aminoadipate aminotransferase	Q8N5Z0	Enzymes, Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
AAK1	DKFZp686K16132, KIAA1048	ENSG00000115977	AP2 associated kinase 1	Q2M2I8	Enzymes, Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ABCA12	DKFZP434G232, ICR2B, LI2	ENSG00000144452	ATP binding cassette subfamily A member 12	Q86UK0	Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	Evidence at transcript level	Evidence at protein level
ABCA7	ABCX	ENSG00000064687	ATP binding cassette subfamily A member 7	Q8IZY2	Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level
ABCB11	ABC16, BSEP, PFIC-2, PFIC2, PGY4, SPGP	ENSG00000073734	ATP binding cassette subfamily B member 11	O95342	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level
ABCB4	GBD1, MDR2, MDR3, PFIC-3, PGY3	ENSG00000005471	ATP binding cassette subfamily B member 4	P21439	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level
ABCB6	EST45597, MTABC3, umat	ENSG00000115657	ATP binding cassette subfamily B member 6 (Langereis blood group)	Q9NP58	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level
ABCC1	GS-X, MRP, MRP1	ENSG00000103222	ATP binding cassette subfamily C member 1	P33527	Cancer-related genes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level
ABCC3	cMOAT2, EST90757, MLP2, MOAT-D, MRP3	ENSG00000108846	ATP binding cassette subfamily C member 3	O15438	Cancer-related genes, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level
ABCC4	EST170205, MOAT-B, MOATB, MRP4	ENSG00000125257	ATP binding cassette subfamily C member 4	O15439	Plasma proteins, Predicted membrane proteins, Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level
ABCC5	EST277145, MOAT-C, MRP5, SMRP	ENSG00000114770	ATP binding cassette subfamily C member 5	O15440	Cancer-related genes, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	Evidence at transcript level	Evidence at protein level
ABCC6	ARA, EST349056, MLP1, MRP6, PXE, URG7	ENSG00000091262	ATP binding cassette subfamily C member 6	O95255	Cancer-related genes, Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level
ABCG2	ABCP, BCRP, CD338, EST157481, MXR	ENSG00000118777	ATP binding cassette subfamily G member 2 (Junior blood group)	Q9UNQ0	Cancer-related genes, CD markers, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ABHD3	LABH3	ENSG00000158201	Abhydrolase domain containing 3	Q8WU67	Enzymes, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ABI1	ABI-1, E3B1, SSH3BP1	ENSG00000136754	Abl interactor 1	Q8IZP0	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ABLIM3	KIAA0843	ENSG00000173210	Actin binding LIM protein family member 3	O94929	Plasma proteins, Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
AC004691.2		ENSG00000250424			Predicted membrane proteins	Evidence at protein level	Evidence at protein level	
AC005324.3		ENSG00000251537			Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	
AC005726.1		ENSG00000258472			Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	
AC008403.1		ENSG00000268465			Predicted intracellular proteins	Evidence at transcript level	Evidence at transcript level	
AC138696.1		ENSG00000264668			Predicted intracellular proteins	Evidence at transcript level	Evidence at transcript level	
ACIN1	ACINUS, fSAP152, KIAA0670	ENSG00000100813	Apoptotic chromatin condensation inducer 1	Q9UKV3	Plasma proteins, Predicted intracellular proteins, Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level
ACKR3	CMKOR1, CXCR7, GPR159, RDC1	ENSG00000144476	Atypical chemokine receptor 3	P25106	Cancer-related genes, G-protein coupled receptors, Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ACLY	ACL, ATPCL, CLATP	ENSG00000131473	ATP citrate lyase	P53396	Cancer-related genes, Citric acid cycle related proteins, Enzymes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ACOT9	ACATE2, CGI-16, MT-ACT48	ENSG00000123130	Acyl-CoA thioesterase 9	Q9Y305	Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ACTN1		ENSG00000072110	Actinin alpha 1	P12814	Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ACTR6	ARP6, FLJ13433	ENSG00000075089	ARP6 actin related protein 6 homolog	Q9GZN1	Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ADA		ENSG00000196839	Adenosine deaminase	P00813	Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ADAM10	CD156c, HsT18717, kuz, MADM	ENSG00000137845	ADAM metallopeptidase domain 10	O14672	Cancer-related genes, CD markers, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level
ADAM33	C20orf153, dJ964F7.1, DKFZp434K0521	ENSG00000149451	ADAM metallopeptidase domain 33	Q9BZ11	Disease related genes, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
ADAP1	CENTA1, GCS1L	ENSG00000105963	ArfGAP with dual PH domains 1	O75689	Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ADCK5	FLJ35454	ENSG00000173137	AarF domain containing kinase 5	Q3MIX3	Enzymes, Predicted membrane proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
ADD1		ENSG00000087274	Adducin 1	P35611	Plasma proteins, Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ADD2	ADDB	ENSG00000075340	Adducin 2	P35612	Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ADD3	ADDL	ENSG00000148700	Adducin 3	Q9UEY8	Disease related genes, Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ADGRG2	EDDM6, GPR64, HE6, TM7LN2	ENSG00000173698	Adhesion G protein-coupled receptor G2	Q8IZP9	Disease related genes, G-protein coupled receptors, Plasma proteins, Potential drug targets, Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ADGRL2	KIAA0786, LEC1, LPHH1, LPHN2	ENSG00000117114	Adhesion G protein-coupled receptor L2	O95490	G-protein coupled receptors, Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ADH1A	ADH1	ENSG00000187758	Alcohol dehydrogenase 1A (class I), alpha polypeptide	P07327	Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ADH1B	ADH2	ENSG00000196616	Alcohol dehydrogenase 1B (class I), beta polypeptide	P00325	Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ADH1C	ADH3	ENSG00000248144	Alcohol dehydrogenase 1C (class I), gamma polypeptide	P00326	Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ADH7	ADH-4	ENSG00000196344	Alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide	P40394	Enzymes, Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ADORA1	RDC7	ENSG00000163485	Adenosine A1 receptor	P30542	FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level
ADRA1B		ENSG00000170214	Adrenoceptor alpha 1B	P35368	Cancer-related genes, FDA approved drug targets, G-protein coupled receptors, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ADRM1	ARM1, GP110, Rpn13	ENSG00000130706	Adhesion regulating molecule 1	Q16186	Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ADSS		ENSG00000035687	Adenylosuccinate synthase	P30520	Enzymes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
AFAP1L2	Em:AC005383.4, FLJ14564, KIAA1914, XB130	ENSG00000169129	Actin filament associated protein 1 like 2	Q8N4X5	Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
AFDN	AF-6, AF6, MLLT4	ENSG00000130396	Afadin, adherens junction formation factor	P55196	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
AFG1L	AFG1, LACE1	ENSG00000135537	AFG1 like ATPase	Q8WV93	Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
AHNAK	MGC5395	ENSG00000124942	AHNAK nucleoprotein	Q09666	Plasma proteins, Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
AHNAK2	C14orf78	ENSG00000185567	AHNAK nucleoprotein 2	Q8IVF2	Cancer-related genes, Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
AIFM2	AMID, FLJ14497, PRG3	ENSG00000042286	Apoptosis inducing factor, mitochondria associated 2	Q9BRQ8	Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
AKAP10	D-AKAP2, MGC9414, PRKA10	ENSG00000108599	A-kinase anchoring protein 10	O43572	Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
AKAP11	AKAP220, DKFZp781I12161, FLJ11304, KIAA0629, PPP1R44, PRKA11	ENSG00000023516	A-kinase anchoring protein 11	Q9UKA4	Plasma proteins, Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
AKAP12	AKAP250, SSeCKS	ENSG00000131016	A-kinase anchoring protein 12	Q02952	Cancer-related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
AKR1B15		ENSG00000227471	Aldo-keto reductase family 1 member B15	C9JRZ8	Enzymes, Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
AL132780.3		ENSG00000259132			Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	
AL139300.1		ENSG00000256500			Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	
AL355315.1		ENSG00000249967			Predicted intracellular proteins	Evidence at transcript level	Evidence at transcript level	
AL358113.1		ENSG00000285130			Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	
ALDH3A1	ALDH3	ENSG00000108602	Aldehyde dehydrogenase 3 family member A1	P30838	Enzymes, Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ALK	CD246	ENSG00000171094	ALK receptor tyrosine kinase	Q9UM73	Cancer-related genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ALOX15B	15-LOX-2	ENSG00000179593	Arachidonate 15-lipoxygenase, type B	O15296	Enzymes, Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ALOXE3	E-LOX, eLOX3	ENSG00000179148	Arachidonate lipoxygenase 3	Q9BYJ1	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ALPI		ENSG00000163295	Alkaline phosphatase, intestinal	P09923	Enzymes, Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ALPP		ENSG00000163283	Alkaline phosphatase, placental	P05187	Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ALPPL2		ENSG00000163286	Alkaline phosphatase, placental like 2	P10696	Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level
ALS2CR12		ENSG00000155749	Amyotrophic lateral sclerosis 2 chromosome region 12	Q96Q35	Plasma proteins, Predicted intracellular proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
AMACR	P504S, RACE	ENSG00000242110	Alpha-methylacyl-CoA racemase	Q9UHK6	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
AMDHD1	MGC35366	ENSG00000139344	Amidohydrolase domain containing 1	Q96NU7	Enzymes, Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
AMER1	FAM123B, FLJ39827, RP11-403E24.2, WTX	ENSG00000184675	APC membrane recruitment protein 1	Q5JTC6	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
AMIGO2	ALI1, DEGA	ENSG00000139211	Adhesion molecule with Ig like domain 2	Q86SJ2	Predicted membrane proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
AMPH		ENSG00000078053	Amphiphysin	P49418	Cancer-related genes, Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ANK2	LQT4	ENSG00000145362	Ankyrin 2	Q01484	Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level
ANK3		ENSG00000151150	Ankyrin 3	Q12955	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ANKEF1	ANKRD5, dJ839B4.6, FLJ21669	ENSG00000132623	Ankyrin repeat and EF-hand domain containing 1	Q9NU02	Predicted intracellular proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level
ANKFN1	FLJ38335	ENSG00000153930	Ankyrin repeat and fibronectin type III domain containing 1	Q8N957	Predicted intracellular proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level
ANKIB1	DKFZP434A0225, KIAA1386	ENSG00000001629	Ankyrin repeat and IBR domain containing 1	Q9P2G1	Enzymes, Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ANKLE2	KIAA0692, Lem4, LEMD7	ENSG00000176915	Ankyrin repeat and LEM domain containing 2	Q86XL3	Disease related genes, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ANKRA2		ENSG00000164331	Ankyrin repeat family A member 2	Q9H9E1	Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ANKRD11	LZ16, T13	ENSG00000167522	Ankyrin repeat domain 11	Q6UB99	Disease related genes, Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ANKRD13A	ANKRD13, NY-REN-25	ENSG00000076513	Ankyrin repeat domain 13A	Q8IZ07	Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ANKRD35	FLJ25124	ENSG00000198483	Ankyrin repeat domain 35	Q8N283	Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level
ANKRD42	FLJ37874, PPP1R79, SARP	ENSG00000137494	Ankyrin repeat domain 42	Q8N9B4	Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level
ANKRD45	CT117, FLJ45235	ENSG00000183831	Ankyrin repeat domain 45	Q5TZF3	Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ANKS1B	AIDA-1, ANKS2, cajalin-2, EB-1	ENSG00000185046	Ankyrin repeat and sterile alpha motif domain containing 1B	Q7Z6G8	Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ANO1	DOG1, FLJ10261, ORAOV2, TAOS2, TMEM16A	ENSG00000131620	Anoctamin 1	Q5XXA6	FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level
ANO10	FLJ10375, MGC47890, SCAR10, TMEM16K	ENSG00000160746	Anoctamin 10	Q9NW15	Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level
ANO2	C12orf3, TMEM16B	ENSG00000047617	Anoctamin 2	Q9NQ90	Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level
ANO6	DKFZp313M0720, TMEM16F	ENSG00000177119	Anoctamin 6	Q4KMQ2	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	Evidence at transcript level	Evidence at protein level
ANPEP	CD13, gp150, LAP1, p150, PEPN	ENSG00000166825	Alanyl aminopeptidase, membrane	P15144	CD markers, Enzymes, Plasma proteins, Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ANXA13	ANX13	ENSG00000104537	Annexin A13	P27216	Plasma proteins, Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
AP2M1	AP50, CLAPM1, mu2	ENSG00000161203	Adaptor related protein complex 2 mu 1 subunit	Q96CW1	Plasma proteins, Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
APBB1	Fe65, RIR	ENSG00000166313	Amyloid beta precursor protein binding family B member 1	O00213	Plasma proteins, Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
APBB1IP	INAG1, RIAM	ENSG00000077420	Amyloid beta precursor protein binding family B member 1 interacting protein	Q7Z5R6	Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
APMAP	BSCv, C20orf3	ENSG00000101474	Adipocyte plasma membrane associated protein	Q9HDC9	Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
AQP1	CHIP28, CO	ENSG00000240583	Aquaporin 1 (Colton blood group)	P29972	Blood group antigen proteins, Predicted membrane proteins, Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level
AQP10		ENSG00000143595	Aquaporin 10	Q96PS8	Predicted membrane proteins, Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level
AQP3	GIL	ENSG00000165272	Aquaporin 3 (Gill blood group)	Q92482	Blood group antigen proteins, Plasma proteins, Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level
AQP4	MIWC	ENSG00000171885	Aquaporin 4	P55087	Predicted membrane proteins, Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level
AQP5		ENSG00000161798	Aquaporin 5	P55064	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level
ARAP1	CENTD2	ENSG00000186635	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1	Q96P48	Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ARF1		ENSG00000143761	ADP ribosylation factor 1	P84077	Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ARHGAP18	bA307O14.2, MacGAP	ENSG00000146376	Rho GTPase activating protein 18	Q8N392	Predicted intracellular proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
ARHGAP19	FLJ00194, MGC14258	ENSG00000213390	Rho GTPase activating protein 19	Q14CB8	Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ARHGAP21	ARHGAP10, KIAA1424	ENSG00000107863	Rho GTPase activating protein 21	Q5T5U3	Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ARHGAP22	RhoGAP2	ENSG00000128805	Rho GTPase activating protein 22	Q7Z5H3	Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ARHGAP23	KIAA1501	ENSG00000275832	Rho GTPase activating protein 23	Q9P227	Predicted intracellular proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
ARHGAP24	DKFZP564B1162, FilGAP, FLJ33877	ENSG00000138639	Rho GTPase activating protein 24	Q8N264	Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ARHGAP29	PARG1	ENSG00000137962	Rho GTPase activating protein 29	Q52LW3	Predicted intracellular proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
ARHGAP33	FLJ39019, SNX26, TCGAP	ENSG00000004777	Rho GTPase activating protein 33	O14559	Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ARHGAP36	FLJ30058	ENSG00000147256	Rho GTPase activating protein 36	Q6ZRI8	Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level
ARHGAP40	C20orf95, dJ1100H13.4	ENSG00000124143	Rho GTPase activating protein 40	Q5TG30	Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	No human protein/transcript evidence
ARHGDIG	RHOGDI-3	ENSG00000242173	Rho GDP dissociation inhibitor gamma	Q99819	Predicted intracellular proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
ARHGEF1	LBCL2, P115-RHOGEF, SUB1.5	ENSG00000076928	Rho guanine nucleotide exchange factor 1	Q92888	Plasma proteins, Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ARHGEF11	GTRAP48, KIAA0380, PDZ-RHOGEF	ENSG00000132694	Rho guanine nucleotide exchange factor 11	O15085	Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ARHGEF12	KIAA0382, LARG	ENSG00000196914	Rho guanine nucleotide exchange factor 12	Q9NZN5	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ARHGEF15	ARGEF15, FLJ13791, KIAA0915, MGC44868, Vsm-RhoGEF	ENSG00000198844	Rho guanine nucleotide exchange factor 15	O94989	Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ARHGEF26	DKFZP434D146, SGEF	ENSG00000114790	Rho guanine nucleotide exchange factor 26	Q96DR7	Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ARHGEF28	p190RhoGEF, RGNEF, RIP2	ENSG00000214944	Rho guanine nucleotide exchange factor 28	Q8N1W1	Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ARHGEF5	GEF5, P60, TIM, TIM1	ENSG00000050327	Rho guanine nucleotide exchange factor 5	Q12774	Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ARID2	BAF200, DKFZp686G052, FLJ30619, KIAA1557	ENSG00000189079	AT-rich interaction domain 2	Q68CP9	Cancer-related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	Evidence at protein level	Evidence at protein level
ARID4A	RBBP1, RBP-1, RBP1	ENSG00000032219	AT-rich interaction domain 4A	P29374	Predicted intracellular proteins, Transcription factors	Evidence at protein level	Evidence at protein level	Evidence at protein level
ARID5B	FLJ21150, MRF2	ENSG00000150347	AT-rich interaction domain 5B	Q14865	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	Evidence at protein level	Evidence at protein level
ARL15	ARFRP2, FLJ20051	ENSG00000185305	ADP ribosylation factor like GTPase 15	Q9NXU5	Predicted intracellular proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
ARL4C	ARL7, LAK	ENSG00000188042	ADP ribosylation factor like GTPase 4C	P56559	Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ARMC12	C6orf81, FLJ25390	ENSG00000157343	Armadillo repeat containing 12	Q5T9G4	Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level
ARMCX5	FLJ12969, GASP5	ENSG00000125962	Armadillo repeat containing, X-linked 5	Q6P1M9	Predicted intracellular proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
ARPC5	ARC16, dJ127C7.3, p16-Arc	ENSG00000162704	Actin related protein 2/3 complex subunit 5	O15511	Plasma proteins, Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ARRDC4	FLJ36045	ENSG00000140450	Arrestin domain containing 4	Q8NCT1	Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ARVCF		ENSG00000099889	ARVCF, delta catenin family member	O00192	Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ASAP1	CENTB4, DDEF1, KIAA1249, PAP, ZG14P	ENSG00000153317	ArfGAP with SH3 domain, ankyrin repeat and PH domain 1	Q9ULH1	Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ASB5		ENSG00000164122	Ankyrin repeat and SOCS box containing 5	Q8WWX0	Predicted intracellular proteins, Predicted membrane proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level
ASGR2	CLEC4H2	ENSG00000161944	Asialoglycoprotein receptor 2	P07307	Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ASH2L	ASH2, ASH2L1, ASH2L2, Bre2	ENSG00000129691	ASH2 like histone lysine methyltransferase complex subunit	Q9UBL3	Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ASIC1	ACCN2, BNaC2, hBNaC2	ENSG00000110881	Acid sensing ion channel subunit 1	P78348	FDA approved drug targets, Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ASIC4	ACCN4, BNAC4	ENSG00000072182	Acid sensing ion channel subunit family member 4	Q96FT7	Predicted membrane proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
ASPM	ASP, Calmbp1, FLJ10517, FLJ10549, MCPH5	ENSG00000066279	Abnormal spindle microtubule assembly	Q8IZT6	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
ASPSCR1	ASPL, ASPS, TUG, UBXD9, UBXN9	ENSG00000169696	ASPSCR1, UBX domain containing tether for SLC2A4	Q9BZE9	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ATG13	KIAA0652	ENSG00000175224	Autophagy related 13	O75143	Cancer-related genes, Predicted intracellular proteins, Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level
ATG3	APG3L, DKFZp564M1178, FLJ22125, MGC15201, PC3-96	ENSG00000144848	Autophagy related 3	Q9NT62	Predicted intracellular proteins, Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level
ATG7	APG7L, DKFZp434N0735, GSA7	ENSG00000197548	Autophagy related 7	O95352	Predicted intracellular proteins, Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level
